Date,André,André_Score,Brent,Brent_Score,David,David_Score,Dustin,Dustin_Score,Jared,Jared_Score,Tanner,Tanner_Score,Tyler,Tyler_Score
4/12/2022,Paul George,46,Darius Garland,37,DLo,43,Darius Garland,37,Zubac,17,PG,46,PG,46
4/13/2022,CJ,43,LaMelo Ball,36,McCollum,43,LaMelo Ball,36,Jonas V,43,McCollum,43,LaMelo Ball,36
4/15/2022,Darius Garland,34,Ice Trae,47,Trae Young,47,Reggie Jackson,44,Garland,34,Reggie J,44,Reggie Jackson,44
4/16/2022,D lo ,22,Nikola Jokic,50,Dinwiddie,26,Jokic,50,Aaron Gordon,12,KAT,49,Siakam,40
4/17/2022,Brandon Ingram,24,DeMar DeRozan,35,Lavine,37,LaVine,37,McCollum,38,Valanciunas ,48,Brandon Ingram,24
4/18/2022,,0,Will Barton,28,Barton,28,Barton,28,,0,Spicy P,39,Dinwiddie ,28
4/19/2022,Trae young,27,Brandon Ingram,62,Valanciunas ,29,Jonas V,29,Ingram ,62,Trae Young,27,McCollum,38
4/20/2022,Pascal Siakam,24,Pascal Siakam,24,Siakam,24,Siakam,24,Siakam ,24,Fredddy V,32,Anunoby ,35
4/21/2022,Anthony Edwards ,25,Anthony Edwards,25,Jokic,66,KAT,20,Jokic,66,Joker,66,Jokic,66
4/22/2022,Bogdan,37,CJ McCollum,41,Ingram,42,Trae Young,33,,0,Ingram,42,Lavine,19
4/23/2022,Kyrie ,34,Kyrie,34,Kyrie,34,Fred VanVleet,10,KAT,48,KD,29,VanVleet,10
4/24/2022,Jonas V,45,Nikola Vucevic ,30,Bogdonavic ,7,Bogdanovic,7,Trae Young,9,DDR,31,Trae Young,9
4/25/2022,Donovan Mitchell,10,KD,52,KD,52,Rudy Gobert,32,KD,52,Kyrie,32,KD,52
4/26/2022,Deandre Hunter,54,"Bogdanovic, Bogdan",0,Anthony Edwards ,21,De'Andre Hunter,54,Boggy (ATL),0,Victor Oladipo,31,Deandre Hunter,54
4/27/2022,Jokic,60,Aaron Gordon,25,DeRozan ,23,DeRozan,23,Vucevic,47,Vuc,47,Derozan,23
4/28/2022,Nudy Robert,27,Donovan Mitchell,36,Donovan Mitchell,36,Donovan Mitchell,36,Gobert,27,Scotty Barnes,28,Donovan Mitchell,36
4/29/2022,KAT,36,KAT,36,KAT,36,Anthony Edwards,44,Ant man ,44,Ant Man,44,Anthony Edwards,44
5/1/2022,Dillion Brooks,28,Dillon Brooks,28,Clarke,42,Clarke,42,Jrue Holiday,86,Brandon Clarke,42,Connaughton,28
5/2/2022,Widdie niddie,38,Tobias Harris,66,Harden,50,Dinwiddie,38,Harris,66,Paul Reed,40,Jalen Brunson ,42
5/3/2022,Ja,132,Ja Morant,132,Dillon Brooks,4,Jaylon Brown,90,Ja Morant,132,Derrick White,18,JJJ,48
5/4/2022,Maxey,80,James Harden,64,Finney-Smith,12,Harden,64,James Harden,64,Toby Harris,74,Harden,64
5/6/2022,Luka don ,98,Luka Doncic,98,Luka,98,Toby Harris,68,Luka Doncic,98,Hardon,52,Tobias Harris,68
5/7/2022,Desmond Bane,42,Jrue Holiday,80,Portis,36,Bane,42,Jaren Jackson ,48,Portis,36,Ja Morant,94
5/8/2022,James Harden,82,Joel Embiid,80,Maxey,44,Embiid,80,Embiid,80,Embiid,80,Luka,102
5/9/2022,Jjj,78,Desmond Bane,32,Jaren Jackson,78,Jayson Tatum,100,Desmond Bane,32,JJJ,78,Jayson Tatum,100
5/10/2022,Joel embiid,48,Tyrese Maxey,26,Harris,30,Maxey,26,Maxey,26,Ayton,60,Maxey ,26
5/11/2022,Tyus Jones,78,J^3,70,Bane,52,JJJ,70,Giannis,104,Jrue,88,Tyus Jones ,78
5/12/2022,DFS,24,Jalen Brunson,54,Embiid,78,Doncic,118,Jalen Brunson,54,Lukas,118,Embiid,78
5/13/2022,Marco Stupid,66,Marcus Smart,66,Tyus Jones,52,Marcus Smart,66,TYus JOnes,52,Steven Adams,32,Smart,66
5/15/2022,Giannis ,106,Giannis Antetokounmpo,106,Giannis,106,Giannis,106,Reggie Bullock,16,giannis ,106,Horford,58
5/17/2022,Tyler Herro,81,Victor Oladipo,36,Herro,81,Herro,81,Bam ,60,TimeLord,90,Grant Williams,30
5/18/2022,Reggie Bullock,57,Klay Thompson,75,Wiggins,81,Brunson,63,Poole,75,Brunson,63,Wiggins,81
5/19/2022,Jaylen Brown,102,Max Strus,48,Strus,48,Strus,48,R W 3,48,Herro,45,Pritchard,48
5/20/2022,Maxi Kleber,33,Steph Curry,126,Klay,72,,0,Dinwiddie ,33,Looney,120,,0
5/21/2022,Jimmy Butler,51,Jayson Tatum,39,Bam,183,Bam,183,Butler ,51,Lowry,69,,0
5/22/2022,Looney,90,Jordan Poole,54,Bullock,33,Bullock,33,Wiggins ,135,Kleber,15,,0
5/23/2022,Al Horford,87,Jaylen Brown,57,Pritchard,63,Gabe Vincent,48,Herro,0,Jaylen Brown,57,,0
5/24/2022,,0,Dorian Finney-Smith,84,Brunson,78,Looney,27,Looney,27,draymond,66,,0
5/25/2022,Time lord,72,Time Lord,72,Oladipo,21,Oladipo,21,Oladipo ,21,Jimmy Buck itz ,87,,
5/26/2022,Kuminga,0,Maxi Kleber,60,Looney,111,Finney-Smith,72,Dinner Smith,72,Forian Sinner Dith,72,,
5/27/2022,Jimmy butler ,219,Al Horford,42,Butler,219,Butler,219,PJ Tuck,57,Edrice Femi Adebayo,39,,